,Business Name,Source,Street Address,City,State,Zip,Title.1,Document URL,Key Nature,Docket Num,Court Juris,Filed Date
10,"EXECUTIVE EVENT SERVICES, LLC",https://www.corporationwiki.com/,140 Marco Villas S,Marco Island,FL,34145,"PHILADELPHIA INDEMNITY INSURANCE COMPANY V. EXECUTIVE EVENT SERVICES, LLC",https://www.westlaw.com/Document/I5FD8FCAFDD1C11EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D397%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=397&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154307-CU-CL-CJC,CA ORANGE SUPER. CT.,2020-08-07
11,BECK STEEL INC.,,,,,,"RANGEL STEEL, INC. V. BECK STEEL, INC., A TEXAS CORPORATION, ET AL.",https://www.westlaw.com/Document/ID34BD069DD3411EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D400%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=400&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",20SMCV01058,CA LOS ANGELES SUPER. CT.,2020-08-10
12,MCCARTHY BUILDING COMPANIES INC.,,,,,,"RANGEL STEEL, INC. V. BECK STEEL, INC., A TEXAS CORPORATION, ET AL.",https://www.westlaw.com/Document/ID34BD069DD3411EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D400%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=400&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",20SMCV01058,CA LOS ANGELES SUPER. CT.,2020-08-10
13,SANTA MONICA-MALIBU UNIFIED SCHOOL DISTRICT A CALIFORNIA SCHOOL DISTRICT,,,,,,"RANGEL STEEL, INC. V. BECK STEEL, INC., A TEXAS CORPORATION, ET AL.",https://www.westlaw.com/Document/ID34BD069DD3411EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D400%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=400&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",20SMCV01058,CA LOS ANGELES SUPER. CT.,2020-08-10
14,"RESIDENTIAL AGENT, INC., A CALIFORNIA",,,,,,"RPA, LLC, A CALIFORNIA LIMITED LIABILITY COMPANY V. RESIDENTIAL AGENT, INC., A CALIFORNIA CORPORATION",https://www.westlaw.com/Document/I5F37DB83DD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D402%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=402&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154403-CL-CL-CJC,CA ORANGE SUPER. CT.,2020-08-11
15,DIANI LIMO SERVICES INC. A CORPORATION,,,,,,"SANTANDER CONSUMER USA INC., AN ILLINOIS CORPORATION V. DIANI LIMO SERVICES INC., A CORPORATION, ET AL.",https://www.westlaw.com/Document/I80B9F78DDD3411EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D403%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=403&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",20AVCV00568,CA LOS ANGELES SUPER. CT.,2020-08-12
16,"DFND SECURITY, INC.",https://businesssearch.sos.ca.gov/,18101 VON KARMAN AVE,IRVINE,CA,92612,"SYNNEX CORPORATION V. DFND SECURITY, INC.",https://www.westlaw.com/Document/I5F37DB9CDD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D412%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=412&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154265-CU-CL-CJC,CA ORANGE SUPER. CT.,2020-08-07
17,TSC ACQUISITION CORPORATION,https://businesssearch.sos.ca.gov/,"1100 GLENDON AVE., SUITE 905",LOS ANGELES,CA,90024,"THE HARTFORD UNDERWRITERS INSURANCE COMPANY, A CORPORATION, ET AL. V. TSC ACQUISITION CORPORATION, A CORPORATION",https://www.westlaw.com/Document/I9719CFC9DD3411EAA4A6DA07B08DE5CD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D416%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=416&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",20STCV30330,CA LOS ANGELES SUPER. CT.,2020-08-11
18,TREVER J FORD,,,,,,"WELLS FARGO BANK, NA V. TREVER J FORD",https://www.westlaw.com/Document/I5E83802BDD1C11EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D463%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=463&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154328-CL-CL-CJC,CA ORANGE SUPER. CT.,2020-08-10
19,MCCARTHY BUILDING COMPANIES INC.,,,,,,"RANGEL STEEL, INC. V. BECK STEEL, INC., A TEXAS CORPORATION, ET AL.",https://www.westlaw.com/Document/ID34BD069DD3411EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e758ed9ff9d75a3f%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D86%26alertGuid%3Di0ad6066b0000016d21b92b659183ee91&listSource=Alert&list=DocketAlertNext&rank=86&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad6066b0000016d21b92b659183ee91,"BANKING/FINANCE, COLLECTIONS",20SMCV01058,CA LOS ANGELES SUPER. CT.,2020-08-10
20,SANTA MONICA-MALIBU UNIFIED SCHOOL DISTRICT A CALIFORNIA SCHOOL DISTRICT,,,,,,"RANGEL STEEL, INC. V. BECK STEEL, INC., A TEXAS CORPORATION, ET AL.",https://www.westlaw.com/Document/ID34BD069DD3411EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e758ed9ff9d75a3f%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D86%26alertGuid%3Di0ad6066b0000016d21b92b659183ee91&listSource=Alert&list=DocketAlertNext&rank=86&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad6066b0000016d21b92b659183ee91,"BANKING/FINANCE, COLLECTIONS",20SMCV01058,CA LOS ANGELES SUPER. CT.,2020-08-10
21,"KYT PRODUCTIONS, INC.",,,,,,"ON DECK CAPITAL, INC. V. KYT PRODUCTIONS, INC.",https://www.westlaw.com/Document/I5E85545CDD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e757dc77f80e7cb9%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D131%26alertGuid%3Di0ad606db000001712ea31744ee194a26&listSource=Alert&list=DocketAlertNext&rank=131&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606db000001712ea31744ee194a26,"BANKING/FINANCE, COLLECTIONS",30-2020-01154195-CU-CL-CJC,CA ORANGE SUPER. CT.,2020-08-07
22,ALHAMBRA WESTMINSTER LLC,,,,,,"CITY OF LOS ANGELES, ACTING BY AND THROUGH THE LOS ANGELES DEPARTMENT OF WATER AND POWER V. ALHAMBRA WESTMINSTER, LLC",https://www.westlaw.com/Document/I117707B3DD0111EAA4A6DA07B08DE5CD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D45%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=45&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,CONTRACTS,20STCV30319,CA LOS ANGELES SUPER. CT.,2020-08-10
23,FARMERS INSURANCE ENCHANCE A BUSINESS ENTITY ,,,,,,"GHEORGHE OVIDU PINZARU V. FARMERS INSURANCE ENCHANCE, A BUSINESS ENTITY FORM UNKNOWN",https://www.westlaw.com/Document/I0A5E3190DCFE11EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D86%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=86&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,CONTRACTS,20STCV30340,CA LOS ANGELES SUPER. CT.,2020-08-11
24,Sierra Moon Owners Association,,,,,,"Hermann, Andreas et al v. Sierra Moon Owners Association et al",https://www.westlaw.com/Document/I614EFECBDD1511EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D94%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=94&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,Contracts,20CV01147,CA Butte Super. Ct.,2020-06-08
25,"Car Financial Services, Inc.",https://www.corporationwiki.com/,5 Concourse Pkwy,Atlanta,GA,30328,"Hinson v. Infinitude Auto Sales, A Business Entity Of Unknow",https://www.westlaw.com/Document/I2474AB49DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D95%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=95&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,Contracts,RG20070345,CA Alameda Super. Ct.,2020-07-31
26,Infinitude Auto Sales,https://www.corporationwiki.com/,29000 Mission Blvd,Hayward,CA,94544,"Hinson v. Infinitude Auto Sales, A Business Entity Of Unknow",https://www.westlaw.com/Document/I2474AB49DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D95%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=95&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,Contracts,RG20070345,CA Alameda Super. Ct.,2020-07-31
27,"Nationwide Mutual Insurance Company, A Corporation",,,,,,"Hinson v. Infinitude Auto Sales, A Business Entity Of Unknow",https://www.westlaw.com/Document/I2474AB49DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D95%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=95&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,Contracts,RG20070345,CA Alameda Super. Ct.,2020-07-31
28,"Plantsnap, Inc",,,,,,"Mammoth Growth LLC v. Plantsnap, Inc",https://www.westlaw.com/Document/I2474AAEFDD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D147%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=147&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,Contracts,RG20070396,CA Alameda Super. Ct.,2020-08-06
29,"SUBWAY REAL ESTATE, LLC",https://www.corporationwiki.com/,2710 Gateway Oaks Dr,Sacramento,CA,95833,"ROIC CALIFORNIA V. SUBWAY REAL ESTATE, LLC",https://www.westlaw.com/Document/I63F61020DD2511EAA4A6DA07B08DE5CD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D190%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=190&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,CONTRACTS,CIVMSL20-02976,CA CONTRA COSTA SUPER. CT.,2020-08-12
